,Country,GDP
0,World,105568776
1,United States,26854599
2,China,19373586
3,Japan,4409738
4,Germany,4308854
5,India,3736882
6,United Kingdom,3158938
7,France,2923489
8,Italy,2169745
9,Canada,2089672
10,Brazil,2081235
11,Russia,2062649
12,South Korea,1721909
13,Australia,1707548
14,Mexico,1663164
15,Spain,1492432
16,Indonesia,1391778
17,Netherlands,1080880
18,Saudi Arabia,1061902
19,Turkey,1029303
20,Switzerland,869601
21,Taiwan,790728
22,Poland,748887
23,Argentina,641102
24,Belgium,624248
25,Sweden,599052
26,Ireland,594095
27,Thailand,574231
28,Norway,554105
29,Israel,539223
30,Singapore,515548
31,Austria,515199
32,Nigeria,506601
33,United Arab Emirates,498978
34,Vietnam,449094
35,Malaysia,447026
36,Philippines,440901
37,Bangladesh,420516
38,Denmark,405626
39,South Africa,399015
40,Hong Kong,382854
41,Egypt,378110
42,Pakistan,—
43,Iran,367970
44,Chile,358557
45,Romania,348902
46,Colombia,334689
47,Czech Republic,330483
48,Finland,301670
49,Peru,268235
50,Iraq,267893
51,Portugal,267721
52,New Zealand,251969
53,Kazakhstan,245695
54,Greece,239300
55,Qatar,219570
56,Algeria,206007
57,Hungary,188505
58,Kuwait,164713
59,Ethiopia,156083
60,Ukraine,148712
61,Morocco,138781
62,Slovakia,127533
63,Ecuador,121291
64,Dominican Republic,121289
65,Puerto Rico,120838
66,Kenya,118130
67,Angola,117877
68,Cuba,—
69,Oman,104902
70,Guatemala,102309
71,Bulgaria,100635
72,Venezuela,96628
73,Uzbekistan,92332
74,Luxembourg,86971
75,Tanzania,85421
76,Turkmenistan,82649
77,Croatia,78881
78,Lithuania,78346
79,Costa Rica,77777
80,Uruguay,77313
81,Panama,77257
82,Ivory Coast,77047
83,Sri Lanka,—
84,Serbia,73961
85,Belarus,73543
86,Azerbaijan,70030
87,DR Congo,69474
88,Slovenia,68108
89,Ghana,66622
90,Myanmar,63988
91,Jordan,52061
92,Tunisia,49815
93,Uganda,49792
94,Cameroon,48625
95,Latvia,47398
96,Sudan,46705
97,Libya,46297
98,Bolivia,46097
99,Bahrain,44870
100,Paraguay,42820
101,Nepal,42097
102,Estonia,41551
103,Macau,35841
104,El Salvador,33752
105,Honduras,32860
106,Papua New Guinea,31362
107,Senegal,31221
108,Cyprus,30864
109,Cambodia,30628
110,Zimbabwe,29931
111,Zambia,29272
112,Iceland,28625
113,Bosnia and Herzegovina,28488
114,Trinidad and Tobago,28223
115,Georgia,27947
116,Haiti,26580
117,Lebanon,—
118,Armenia,23725
119,Guinea,23330
120,Burkina Faso,21076
121,Mali,20776
122,Gabon,20330
123,Albania,20177
124,Afghanistan,—
125,Mozambique,19909
126,Palestine,19206
127,Botswana,19572
128,Yemen,19529
129,Malta,19405
130,Benin,19236
131,Nicaragua,17287
132,Jamaica,17254
133,Mongolia,16908
134,Niger,16617
135,Guyana,16309
136,Brunei,15988
137,Madagascar,15969
138,North Korea,—
139,Moldova,15829
140,Syria,—
141,North Macedonia,15278
142,Equatorial Guinea,15099
143,Mauritius,14570
144,Bahamas,14114
145,Laos,14091
146,Namibia,13486
147,Rwanda,13149
148,Congo,13031
149,Tajikistan,12796
150,Kyrgyzstan,12309
151,Chad,11962
152,Malawi,11277
153,Mauritania,10966
154,New Caledonia,—
155,Kosovo,9990
156,Togo,9001
157,Somalia,8738
158,Monaco,—
159,Bermuda,—
160,Montenegro,7027
161,South Sudan,7012
162,Maldives,7004
163,Liechtenstein,—
164,Barbados,6117
165,French Polynesia,—
166,Cayman Islands,—
167,Fiji,5385
168,Eswatini,4824
169,Liberia,4375
170,Djibouti,3916
171,Andorra,3669
172,Aruba,3633
173,Sierra Leone,3520
174,Suriname,3470
175,Burundi,3234
176,Belize,3162
177,Greenland,—
178,Central African Republic,2736
179,Curaçao,—
180,Bhutan,2683
181,Eritrea,2666
182,Lesotho,2584
183,Cape Verde,2468
184,Gambia,2277
185,Saint Lucia,2262
186,East Timor,1988
187,Seychelles,1950
188,Guinea-Bissau,1887
189,Antigua and Barbuda,1864
190,San Marino,1807
191,Zanzibar,—
192,Solomon Islands,1701
193,British Virgin Islands,—
194,Comoros,1348
195,Grenada,1274
196,Vanuatu,1064
197,Saint Kitts and Nevis,1052
198,Saint Vincent and the Grenadines,1039
199,Turks and Caicos Islands,—
200,Samoa,898
201,Sint Maarten,—
202,Dominica,681
203,São Tomé and Príncipe,625
204,Tonga,541
205,Micronesia,456
206,Marshall Islands,291
207,Cook Islands,—
208,Palau,262
209,Anguilla,—
210,Kiribati,248
211,Nauru,151
212,Montserrat,—
213,Tuvalu,65
